,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,success,status_code,status_message
23,False,/1DyLuGknMAXVYALJCE6JWdbppI0.jpg,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,900023.0,,pt,A Mãe de Todas as Lutas,,0.84,/1AHVyjmjJKUIjryArHFWKoYCWpS.jpg,[],"[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",2021-11-06,0.0,84.0,"[{'english_name': 'Guarani', 'iso_639_1': 'gn', 'name': ''}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,A Mãe de Todas as Lutas,False,0.0,0.0,,,
24,False,/II0KUBOcdYFlyCB8uXr5TatIAY.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]",https://www.youtube.com/channel/UCjqb1cuuVdQ6F8Md6li9C9w,900024.0,tt16131460,en,Rangus and Dangus,,1.453,/ikKQ7kJe0KPG6cvVjjIl9gDjTr9.jpg,"[{'id': 161265, 'logo_path': None, 'name': 'Oneder Studios', 'origin_country': ''}, {'id': 164712, 'logo_path': None, 'name': 'Adams/Cairl/Welch', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-11-17,0.0,6.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Rangus and Dangus,False,0.0,0.0,,,
25,False,,,0.0,"[{'id': 35, 'name': '코미디'}, {'id': 14, 'name': '판타지'}]",,900025.0,tt7590878,pt,Flores,,0.6,/mSwiYONFINjIvCo9AXZqNhnF6xx.jpg,[],[],2017-10-01,0.0,17.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",Released,,Flores,False,0.0,0.0,,,
26,False,,,0.0,"[{'id': 35, 'name': '코미디'}]",http://www.takeatakefilms.com/portfolio-view/o-ultimo-youtuber-virgem/,900026.0,,pt,O Último Youtuber Virgem,,0.6,,"[{'id': 164786, 'logo_path': None, 'name': 'Take a Take', 'origin_country': ''}, {'id': 164787, 'logo_path': None, 'name': 'Rubi Filmes', 'origin_country': ''}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}]",,0.0,110.0,"[{'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}]",In Production,,O Último Youtuber Virgem,False,0.0,0.0,,,
27,False,/mUJexUV9R95ywL03V3biQQvgBTS.jpg,,0.0,"[{'id': 18, 'name': '드라마'}, {'id': 10752, 'name': '전쟁'}]",,900027.0,,zh,Registration Form,,0.6,/raAc7CYfjq1giXN4t2QOE9pdpei.jpg,"[{'id': 164788, 'logo_path': None, 'name': 'Shandong Film Studio (CN)', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2017-12-29,0.0,0.0,[],Released,,Registration Form,False,0.0,0.0,,,
28,False,/lgCWrp5ki2UrHTZtA86f0BrX3Pl.jpg,,0.0,"[{'id': 10749, 'name': '로맨스'}, {'id': 18, 'name': '드라마'}]",,900028.0,,zh,101st Weddings,,0.6,/WKJRc87yOBDFvbFs0B1niQucwx.jpg,"[{'id': 164789, 'logo_path': None, 'name': 'Beijing Star Road Comb ined Culture Media', 'origin_country': ''}]","[{'iso_3166_1': 'CN', 'name': 'China'}]",2012-05-01,0.0,0.0,[],Released,,101st Weddings,False,0.0,0.0,,,
29,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",https://www.laultimaguardia.com/,900029.0,tt12140782,es,La última guardia,,1.364,/a4jTO82znTt965wAgpCgioX2O5F.jpg,[],"[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2019-11-29,0.0,73.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,,La última guardia,False,0.0,0.0,,,
30,False,/d1oN9AoFIcvVfa9nR8Wbq8hKoIR.jpg,,0.0,"[{'id': 28, 'name': '액션'}]",,900030.0,,zh,Die Xie Shuang Long,,0.6,/2ndSAWMqhDMP5dG7tgfvykubzVc.jpg,"[{'id': 164790, 'logo_path': None, 'name': 'Donghui Borui Film', 'origin_country': ''}]",[],2018-08-14,0.0,0.0,[],Released,,Die Xie Shuang Long,False,0.0,0.0,,,
31,False,,,0.0,"[{'id': 99, 'name': '다큐멘터리'}]",,900031.0,tt11867402,en,Power of Moths,,0.6,,[],[],2017-04-01,0.0,40.0,"[{'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Power of Moths,False,0.0,0.0,,,
32,False,,,0.0,"[{'id': 35, 'name': '코미디'}]",,900032.0,tt12749360,en,Neolovismo,,0.6,/2L2EmPxxqo16Z4TIyY3I0I170AJ.jpg,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2021-02-20,0.0,74.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Neolovismo,False,0.0,0.0,,,
