,success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
9351,,,,False,/3l5rtsQqEG8cXJcznWAOW7C8Cak.jpg,,0.0,"[{'id': 18, 'name': '드라마'}]",,399351.0,tt5339226,de,Back for Good,,2.044,/iInhopj6oXbSHikdEwBpUWzgDbp.jpg,"[{'id': 65263, 'logo_path': None, 'name': 'Zum Goldenen Lamm Filmproduktion', 'origin_country': 'DE'}, {'id': 124, 'logo_path': '/7MjDMOybX0D3fcIEpCyY9es5XZU.png', 'name': 'Südwestrundfunk', 'origin_country': 'DE'}, {'id': 296, 'logo_path': None, 'name': 'Filmakademie Baden-Württemberg', 'origin_country': 'DE'}, {'id': 1251, 'logo_path': '/ucgmv8vBIA3Tr2VbqQ1NKYgkTsN.png', 'name': 'ARD', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2017-02-10,0.0,95.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Back for Good,False,4.9,8.0
9352,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}, {'id': 18, 'name': '드라마'}, {'id': 14, 'name': '판타지'}]",,399352.0,,en,Master of Ceremonies,,0.6,,[],[],1987-05-26,0.0,9.0,[],Released,,Master of Ceremonies,False,8.0,1.0
9353,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
9354,,,,False,,,100000.0,"[{'id': 18, 'name': '드라마'}]",,399354.0,,it,Sangue Sparso,,0.6,,[],"[{'iso_3166_1': 'IT', 'name': 'Italy'}]",2016-01-01,0.0,0.0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Sangue Sparso,True,9.0,1.0
9355,,,,False,,,0.0,"[{'id': 16, 'name': '애니메이션'}]",,399355.0,tt5807662,en,Kensho,,0.6,,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2015-07-15,0.0,5.0,[],Released,,Kensho,False,0.0,0.0
9356,,,,False,,,0.0,"[{'id': 10751, 'name': '가족'}]",,399356.0,tt1886468,en,Ambush at Devil's Gap,,0.6,,"[{'id': 48266, 'logo_path': None, 'name': ""Children's Film Foundation (CFF)"", 'origin_country': ''}, {'id': 67955, 'logo_path': None, 'name': 'Rayant Pictures', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1966-01-01,0.0,95.0,[],Released,,Ambush at Devil's Gap,False,0.0,0.0
9357,,,,False,,,0.0,"[{'id': 18, 'name': '드라마'}]",,399357.0,tt0023416,en,Rynox,,1.383,,"[{'id': 77389, 'logo_path': None, 'name': 'Film Engineering', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1932-05-07,0.0,48.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Rynox,False,0.0,0.0
9358,,,,False,/AtE0zbVsi7H4WbwD1va4H351OZE.jpg,,0.0,"[{'id': 10751, 'name': '가족'}]",,399358.0,tt0068216,en,Anoop and the Elephant,,0.84,/5PX3Jvy7FuIdH3yVSgOP50OKm2D.jpg,"[{'id': 48266, 'logo_path': None, 'name': ""Children's Film Foundation (CFF)"", 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1972-01-01,0.0,55.0,[],Released,,Anoop and the Elephant,False,0.0,0.0
9359,,,,False,,,0.0,"[{'id': 10770, 'name': 'TV 영화'}, {'id': 18, 'name': '드라마'}]",http://www.bbc.co.uk/programmes/b07g06ch,399359.0,tt5106042,en,Reg,,1.772,/t0NITPaGIFOyVqjrB3gIPMkD38v.jpg,[],"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2016-06-06,0.0,89.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Reg,False,5.5,7.0
9360,,,,False,/nKMeTdm72LQ756Eq20uTjF1zDXu.jpg,,51000000.0,"[{'id': 12, 'name': '모험'}, {'id': 18, 'name': '드라마'}]",http://www.alpha-themovie.com,399360.0,tt4244998,en,Alpha,2만여 년 전 빙하기 시대에 무리와 함께 사냥을 떠났다가 죽은 것으로 여겨졌던 한 소년이 자신을 공격하려던 무리에서 낙오된 한 늑대를 만난다. 서로 친구가 된 소년과 늑대는  겨울이 닥쳐오기 전에 소년의 고향으로 돌아가기 위해 험난한 길을 나서는데...,28.203,/hudZsb84xSRcJzYmZo6vOncDf2w.jpg,"[{'id': 77863, 'logo_path': '/7z6YOzvdk70YY8OaRbn5mfxrvbO.png', 'name': 'Studio 8', 'origin_country': 'US'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2018-08-17,35808437.0,97.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,알파 : 위대한 여정,False,6.4,2054.0
9361,,,,False,/s9I2LmQMYCanl6DvC3X1AOHs2r8.jpg,,0.0,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 80, 'name': '범죄'}, {'id': 12, 'name': '모험'}]",http://www.netflix.com/triplefrontier,399361.0,tt1488606,en,Triple Frontier,"마약왕의 돈을 훔치기 위해 다시 뭉친 전직 공수특전단 요원들. 왕년의 실력을 발휘하지만, 예상치 못한 위기가 닥친다. 의리마저 흔들리는 그들, 무사히 해낼 수 있을까.",23.057,/hjI7T1sEm94fCx9n3s4e8SCBm13.jpg,"[{'id': 507, 'logo_path': '/z7H707qUWigbjHnJDMfj6QITEpb.png', 'name': 'Atlas Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-03-06,0.0,125.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,마약왕의 소굴에서 수백만 달러를 훔쳐라!,트리플 프런티어,False,6.3,2400.0
9362,,,,False,,,0.0,[],,399362.0,,en,"Iced Earth: [2010] São Paulo, Brazil",,0.6,,[],[],2010-02-06,0.0,0.0,[],Released,,"Iced Earth: [2010] São Paulo, Brazil",False,0.0,0.0
9363,,,,False,/jqOCty3utHRzDf8BNX5rP6p0UDe.jpg,,5000000.0,"[{'id': 14, 'name': '판타지'}, {'id': 12, 'name': '모험'}, {'id': 10751, 'name': '가족'}]",,399363.0,tt2420124,en,Wendy,"기찻길 옆, 작은 식당이 세상의 전부인 소녀 웬디는 내면에 차오르는 호기심과 모험심으로 매일 새로운 세상을 꿈꾼다. 그러던 어느 날, 피터가 나타나고 웬디와 쌍둥이 형제 더글라스, 제임스를 이끌고 여정을 떠나게 된다. 그리고 자신의 의지로 어른이 되지 않고 영원히 어린이로 살 수 있는 신비로운 섬에 도착하게 되는데…",10.253,/fvoNtuJdevO5XiMUmkit5QVpJD7.jpg,"[{'id': 127929, 'logo_path': '/fCB4AVYvxxDvqumgYqsN6ehyN3G.png', 'name': 'Searchlight Pictures', 'origin_country': 'US'}, {'id': 89142, 'logo_path': '/bfMAgFDoS5niHK077WKdoUMgLHp.png', 'name': 'Department of Motion Pictures', 'origin_country': 'US'}, {'id': 6714, 'logo_path': None, 'name': 'Court 13 Pictures', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2020-02-28,0.0,111.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,영원히 자라지 않는 아이들의 세상을 만나다,웬디,False,6.1,74.0
9364,False,34.0,The resource you requested could not be found.,,,,,,,,,,,,,,,,,,,,,,,,,
9365,,,,False,,,0.0,[],,399365.0,,he,סבא טוביה - סיפורים כיד המלך,,0.6,,[],[],2005-07-07,0.0,,[],Released,,סבא טוביה - סיפורים כיד המלך,False,0.0,0.0
9366,,,,False,/mc7w3y83wQU9YAIAmP1hoxqQped.jpg,,8000000.0,"[{'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스터리'}, {'id': 27, 'name': '공포'}]",,399366.0,tt5886440,en,Marrowbone,"어두운 과거를 잊고 아픈 엄마, 동생들과 함께 새출발을 위해 매로우본 저택에 살기로 한 잭. 얼마 후, 병세가 나빠진 엄마가 세상을 떠난다. 형제들이 보호시설로 뿔뿔이 흩어지게 될 까봐 두려워진 잭은 성인이 될 때까지 엄마의 죽음을 외부에 숨기기로 한다. 동생들과 지켜야 할 룰을 정하고 불가피할 경우만 잭 혼자 저택을 나가기로 한 것. 그러던 어느 날, 잭이 외출하고 온 후부터 저택에서는 설명할 수 없는 불가사의한 일들이 벌어지고 모든 출입구가 봉쇄되었던 방에서 인기척이 들린다. 잭은 알 수 없는 존재로부터 동생들을 보호하고 함께 살기 위한 방법을 찾기 시작하는데…​",13.546,/ciXo4YPYrBbQEIaXMTrPg58pm13.jpg,"[{'id': 103476, 'logo_path': None, 'name': 'Mogambo Films', 'origin_country': 'ES'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 1182, 'logo_path': '/bkgwJWvqqLuzsXV2Qv3Mg3wfcNZ.png', 'name': 'Telecinco Cinema', 'origin_country': 'ES'}, {'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2017-10-27,11165901.0,111.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,절대로! 아무도! 우릴 갈라놓을 수 없어…,더 시크릿 하우스,False,7.2,1038.0
