,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order,movie_id
56,False,1,1742596,Acting,Ritu Arya,Ritu Arya,34.36,/ihrpR4DeBgxYgpU7b1I0tFKckm1.jpg,16,Inspector Urvashi Das,5e4204000c271000137fe6fd,3,512195
57,False,2,1217648,Acting,Chris Diamantopoulos,Chris Diamantopoulos,9.534,/rCp2ZVOFnQt2vvVn4QmOOPz5WVh.jpg,17,Sotto Voce,5e42040b41465c0018ce67e2,4,512195
58,False,2,2777637,Acting,Ivan Mbakop,Ivan Mbakop,1.4,/6X8bfrpJlDJUIQj9nt5IV1HfQGM.jpg,20,Tambwe,5f5f9fc493388b00395b9a43,5,512195
59,False,2,20588,Acting,Vincenzo Amato,Vincenzo Amato,2.653,/h1cwmBKjFxGgIX4RcPhdcjJGpBa.jpg,87,Director Gallo,618f9669e93e95008ea04bf9,6,512195
60,False,2,1507080,Acting,Rafael Petardi,Rafael Petardi,2.593,/1ychureLvmyTVYYKI41pN13efFr.jpg,25,Security Chief Ricci,60e836994ca676005e1d0096,7,512195
61,False,2,1039097,Acting,Seth Michaels,Seth Michaels,1.62,,88,Souvenir Stand Owner,618f968a66a7c30092d34cb5,8,512195
62,False,0,2045045,Acting,Sebastien Large,Sebastien Large,0.6,,89,Gelato Truck Driver,618f969863e6fb0063733f7e,9,512195
63,False,2,1517535,Acting,Guy Nardulli,Guy Nardulli,1.128,,90,Museum Reporter / Italian VIP,618f96aad55e4d0045bc651a,10,512195
64,False,2,2646853,Acting,Andrew Hunter,Andrew Hunter,0.6,/qo257KJR4WpjHrQfnEeUY3JdZ2P.jpg,91,Moped Tourist,618f96bca313b8002a9c645c,11,512195
65,False,2,1822373,Acting,George Tsai,George Tsai,0.98,/4l05ulUteEk6Gdp2opdHlnfzvtn.jpg,92,Bali Van Driver,618f96c65f2b8d0026662899,12,512195
66,False,2,57633,Directing,Rawson Marshall Thurber,Rawson Marshall Thurber,4.208,/4gpzB12oy73qr5nWNNyZICz9nFB.jpg,93,Exhausted Film Director in Bar,618f96d666a7c30064c17fa6,13,512195
67,False,0,1723574,Acting,Anthony Belevtsov,Anthony Belevtsov,1.11,/8oghqsjK6Pyvc1r9Zndilgl3EOV.jpg,86,Prison Guard Sergeant,6186dcba75f1ad008e4209d0,14,512195
68,False,2,9452,Acting,Daniel Bernhardt,Daniel Bernhardt,4.786,/b59qhg5VJOCypx9eMXrXHAjauLd.jpg,85,Drago Grande,6186dc6d8ed03f006373e765,15,512195
69,False,0,3148386,Acting,Yosef Podolski,Yosef Podolski,0.6,,94,Lead Guard,618f96eba313b8006254f88e,16,512195
70,False,0,1233178,Acting,Alexander Perkins,Alexander Perkins,0.98,/aJ3uqgRXPW0Jvxp6MbgQS8vLfBL.jpg,95,Intelligence Analyst,618f979166a7c30043755655,17,512195
71,False,2,1157627,Acting,Joseph A. Garcia,Joseph A. Garcia,0.98,/kaNFRoFLjHxeEVntTSrb5xeRPW.jpg,102,Old Tech,61903a147ac8290061d8bf3e,18,512195
72,False,2,1970046,Acting,Nathan Theis,Nathan Theis,1.38,/wUhiaVclV1urgNpopDhvdS31pRR.jpg,96,Young Tech,618f97a50f2fbd002e474470,19,512195
73,False,0,2156029,Visual Effects,Gonzalo Escudero,Gonzalo Escudero,0.694,,97,Head Waiter,618f97b288634800437a2284,20,512195
74,False,2,200109,Acting,Tom Choi,Tom Choi,2.25,/48uNKlsPufa5NMcaFGYv01ZbGXA.jpg,27,Mongolian Captain,60e8374d4ca67600462a0d9d,21,512195
75,False,2,1952010,Acting,Nick Arapoglou,Nick Arapoglou,0.6,/3ZM2dRRRFrz1nLsshETs6egpKYX.jpg,98,Officer on Yacht,618f97d6cf62cd002a01f41d,22,512195
76,False,2,35172,Acting,Robert Clotworthy,Robert Clotworthy,2.744,/ya6d3Nkp28AYIQ9TFDfwh8lshxg.jpg,99,Opening Narrator (voice),618f97e3cf62cd00421f5eb8,23,512195
77,False,2,1199292,Acting,Martin Harris,Martin Harris,1.116,/3CRHqBr5U8pexQdtB42P0ZzK9x0.jpg,101,Tower Guard,61903976f18ce7008acccc06,24,512195
78,False,0,1915018,Acting,Ethan Herschenfeld,Ethan Herschenfeld,0.694,,103,Aranoub Magdy,61903ab8e93e95008ea13147,25,512195
79,False,2,998387,Acting,Ed Sheeran,Ed Sheeran,6.098,/w7zbWC9AV0WfIEl8L38otal7mwS.jpg,100,Ed Sheeran (uncredited),618fb9770f2fbd002e475f89,26,512195
80,False,0,1773168,Acting,Steve Eifert,Steve Eifert,0.989,/2cmouno9Lz9hVuQvrb350epJZw9.jpg,104,Prison Captain,61915d5c63a69500618d7ed4,27,512195
81,False,1,1696017,Acting,Darby Camp,Darby Camp,9.008,/bhke7AjdmRdhW7Gw7X6fCBeYwNs.jpg,2,Emily Elizabeth,5ced80500e0a261bbbd22809,0,585245
82,False,2,212285,Acting,Jack Whitehall,Jack Whitehall,14.449,/8xRKz1tiVyjLxIMuD0ckOmF3xMY.jpg,3,Uncle Casey,5ced806792514110dbb9b5a4,1,585245
83,False,2,2362044,Acting,Izaac Wang,Izaac Wang,3.231,/bzvi6adMl3zmzC7gWhS4cmO61S4.jpg,25,Owen Yu,60db2012dbf14400234f69d7,2,585245
84,False,2,8930,Acting,John Cleese,John Cleese,5.667,/kg63gNYQtGPi2fSNIvCnVAclCbi.jpg,14,Mr. Bridwell,5fbe94060c2710003f2e04f9,3,585245
85,False,2,25147,Acting,Tony Hale,Tony Hale,7.16,/ar4uapp4w5wMkThZcqWUNMSTO8z.jpg,27,Zack Tieran,60db20590b7316007d1e8e80,4,585245
86,False,2,58563,Acting,David Alan Grier,David Alan Grier,3.9,/jzo5B1zoIB8NOV68wLp9g1R8d5o.jpg,19,Packard,5fbe954e9c97bd003ea071e2,5,585245
87,False,2,55259,Acting,Paul Rodríguez,Paul Rodríguez,2.164,/e6VaplhEMi8uh3xOl8PThkaAVI8.jpg,26,Sanchez,60db202c3fe160002bfb0e02,6,585245
88,False,2,52117,Acting,Horatio Sanz,Horatio Sanz,4.295,/kRoPbW1wPePFnA2THXxNhj4wsvA.jpg,12,Raul,5fbe93dc54508d003dd5f8fd,7,585245
89,False,1,7055,Acting,Sienna Guillory,Sienna Guillory,10.663,/nO190bAQxXvZH3DG9rZto0eocLe.jpg,13,Maggie,5fbe93ef54508d003dd5f919,8,585245
90,False,1,4810,Acting,Rosie Perez,Rosie Perez,3.363,/gITXAn0inTa9wELgvbONxiw1PWz.jpg,15,Lucille,5fbe941b57530e00403be1c4,9,585245
91,False,2,77330,Acting,Kenan Thompson,Kenan Thompson,7.101,/vHPhDGc1om91TzoIQ4zMscpNmxF.jpg,16,Vet,5fbe9459323eba003ffdd85c,10,585245
92,False,1,1794448,Acting,Jessica Keenan Wynn,Jessica Keenan Wynn,1.812,/tIN2JIG5e4SzrWzMMRwOeR9oBsS.jpg,17,Colette,5fbe951d271ca5004053de6f,11,585245
93,False,2,21354,Acting,Russell Wong,Russell Wong,2.718,/5S4ITB3tELBnfi0PFr9CWo9rmuZ.jpg,18,Mr. Yu,5fbe9535f9475b003ec54784,12,585245
94,False,1,67787,Acting,Karen Lynn Gorney,Karen Lynn Gorney,1.4,/wLd924doDT7Xo4RGi23i0kjby47.jpg,20,Mrs. McKinley,5fbe95684c1d9a003f8335d7,13,585245
95,False,1,1491582,Acting,Melanie Chandra,Melanie Chandra,1.01,/4oJbk66uePKRsvZjdjimyYmd0U8.jpg,21,Susan,5fbe95790c271000402e66a6,14,585245
96,False,2,82417,Acting,Russell Peters,Russell Peters,1.555,/yVOYFZsklBt3726FcVwfZcVhoU1.jpg,22,Malik,5fbe958b35c30a0041575b02,15,585245
97,False,2,1293730,Acting,Kevin McCormick,Kevin McCormick,1.008,/ddyWag3H1Kzkkb9bAvsOMiD55o.jpg,23,Head of Security,5fbe95b6323eba003efce92e,16,585245
98,False,1,1944189,Acting,Yasha Jackson,Yasha Jackson,1.38,/wf1EciVEtChHqaAEsRcqP9o2wBJ.jpg,24,Actor,5fbe95cd175051004011d2b7,17,585245
99,False,1,6751,Acting,Siobhan Fallon Hogan,Siobhan Fallon Hogan,5.797,/5OExagnRsUcOYLMPTSrv4x2G95R.jpg,28,Petra,60db206c0b7316007d1e8e91,18,585245
100,False,2,1424111,Acting,Alex Moffat,Alex Moffat,1.47,/1BnloTmJWCTocPoKPd586MdUmZo.jpg,73,Albert,618ad4e42cde98004252144f,19,585245
101,False,2,1489211,Acting,Simu Liu,Simu Liu,14.69,/zrJjYjOYzDj7eY9oiHAoz8Yh0yk.jpg,11,Shaun / Shang-Chi,5d33b7e66a300b2f7ea6bc88,0,566525
102,False,2,1337,Acting,Tony Leung Chiu-wai,Tony Leung Chiu-wai,19.072,/nQbSQAws5BdakPEB5MtiqWVeaMV.jpg,12,Xu Wenwu / The Mandarin,5d33c5fc2f8d094522dbaf68,1,566525
103,False,1,1625558,Acting,Awkwafina,Awkwafina,21.43,/l5AKkg3H1QhMuXmTTmq1EyjyiRb.jpg,10,Katy Chen,5d33b71fcaab6d0b29a8a566,2,566525
104,False,1,2979464,Acting,Meng'er Zhang,Meng'er Zhang,13.174,/yMiYThzzkeVSsUI2sxh3iIWmMTy.jpg,61,Xu Xialing,602b041de72fe8003c101fca,3,566525
105,False,1,123701,Acting,Fala Chen,Fala Chen,7.356,/1eoEj3umXbxUkTXb5c7bmC3EUTh.jpg,54,Ying Li,5f5a4014ec0c580035a40140,4,566525
106,False,1,1620,Acting,Michelle Yeoh,Michelle Yeoh,9.652,/wPI2wn6WJEtJr1oAMTLBLh92Ryc.jpg,50,Ying Nan,5e2672bf4ca676001a3e2021,5,566525
107,False,2,57609,Acting,Yuen Wah,Yuen Wah,7.744,/yMkMgs0tWlJXdTjYkiMcjvhYnRw.jpg,98,Master Guang Bo,612f81456a344800621363d6,6,566525
108,False,2,2282,Acting,Ben Kingsley,Ben Kingsley,8.149,/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg,86,Trevor Slattery,611177fc01e4d1002eca6c8d,7,566525
109,False,2,1998541,Acting,Florian Munteanu,Florian Munteanu,3.896,/lE26A169mjuwW5x0zx2wW9Q9o2w.jpg,52,Razor Fist,5e659068d35dea0013012320,8,566525
110,False,0,1068877,Acting,Andy Le,Andy Le,0.98,/rwcJKFHN419CuNgEk57OEp16XLE.jpg,90,Li Ching-Lin / Death Dealer,611ba3311bf876002f924510,9,566525
111,False,0,3074780,Acting,Paul He,Paul He,1.4,/uTFu9bgW3Q8XcgII2iXoAgRXovY.jpg,99,Chancellor Hui,612f8173fbe36f0065c1d146,10,566525
112,False,0,3201062,Acting,Jayden Tianyi Zhang,Jayden Tianyi Zhang,0.6,/8jjggQTAMO7AyHyfcf8qJ8LgwjI.jpg,89,Young Shang-Chi,611ba2dd151c5c004617c06b,11,566525
113,False,0,3218942,Acting,Elodie Fong,Elodie Fong,0.6,,104,Young Xialing,612f81d3fac5020026fe009a,12,566525
114,False,0,3216792,Acting,Arnold Sun,Arnold Sun,0.6,,95,Teen Shang-Chi,612cacf4a1d3320067fa3867,13,566525
115,False,1,1381186,Acting,Stephanie Hsu,Stephanie Hsu,1.4,/d0nLvH8XZW7d7ZJ5mGFM3k0NvRh.jpg,100,Soo,612f8195d207f300649a38e9,14,566525
116,False,2,2422160,Acting,Kunal Dudheker,Kunal Dudheker,1.4,/uwRGVuRsAUYfb0dMKnQC6GrlxtP.jpg,101,John,612f81a239b6c3002a846c50,15,566525
117,False,1,10075,Acting,Tsai Chin,Tsai Chin,1.53,/5gfJqD1QeuVNUztE5kPFFQ4TadI.jpg,102,Waipo,612f81ab39549a00433e8ca8,16,566525
118,False,1,44059,Acting,Jodi Long,Jodi Long,4.81,/rLsdDkJMQRGiLfYgfwqQcNW4ZGc.jpg,88,Mrs. Chen,611ba2b14a0b1900738aa02e,17,566525
